"Year","Total","Top 0.1%","Top 1%","Between 1% & 5%","Top 5%","Between 5% & 10%","Top 10%","Between 10% & 25%","Top 25%","Between 25% & 50%","Top 50%","Bottom 50%"
"1980","15.31%","","34.47%","22.06%","26.85%","17.13%","23.49%","14.80%","19.72%","11.91%","17.29%","6.10%"
"1981","15.76%","","33.37%","21.97%","26.59%","18.16%","23.64%","15.53%","20.11%","12.48%","17.73%","6.62%"
"1982","14.72%","","31.43%","20.35%","25.05%","16.61%","22.17%","14.35%","18.79%","11.63%","16.57%","6.10%"
"1983","13.79%","","30.18%","18.78%","23.64%","15.54%","20.91%","13.20%","17.62%","10.76%","15.52%","5.66%"
"1984","13.68%","","29.92%","18.38%","23.42%","15.57%","20.81%","12.90%","17.47%","10.48%","15.35%","5.77%"
"1985","13.73%","","29.86%","18.58%","23.50%","15.69%","20.93%","12.83%","17.55%","10.41%","15.41%","5.70%"
"1986","14.54%","","33.13%","19.20%","25.68%","15.99%","22.64%","12.97%","18.72%","10.48%","16.32%","5.63%"
"1987","13.12%","","26.41%","18.13%","22.10%","14.43%","19.77%","11.71%","16.61%","9.45%","14.60%","5.09%"
"1988","13.21%","","24.04%","17.75%","21.14%","14.07%","19.18%","11.82%","16.47%","9.60%","14.64%","5.06%"
"1989","13.12%","","23.34%","18.00%","20.71%","13.93%","18.77%","12.08%","16.27%","9.77%","14.53%","5.11%"
"1990","12.95%","","23.25%","17.66%","20.46%","13.63%","18.50%","12.01%","16.06%","9.73%","14.36%","5.01%"
"1991","12.75%","","24.37%","17.08%","20.62%","13.96%","18.63%","11.57%","15.93%","9.55%","14.20%","4.62%"
"1992","12.94%","","25.05%","17.16%","21.19%","13.99%","19.13%","11.39%","16.25%","9.42%","14.44%","4.39%"
"1993","13.32%","","28.01%","17.46%","22.71%","14.01%","20.20%","11.40%","16.90%","9.37%","14.90%","4.29%"
"1994","13.50%","","28.23%","17.99%","23.04%","14.20%","20.48%","11.57%","17.15%","9.42%","15.11%","4.32%"
"1995","13.86%","","28.73%","18.24%","23.53%","14.46%","20.97%","11.71%","17.58%","9.43%","15.47%","4.39%"
"1996","14.34%","","28.87%","18.57%","24.07%","14.74%","21.55%","11.86%","18.12%","9.53%","15.96%","4.40%"
"1997","14.48%","","27.64%","18.78%","23.62%","14.87%","21.36%","12.04%","18.18%","9.63%","16.09%","4.48%"
"1998","14.42%","","27.12%","19.19%","23.63%","14.79%","21.42%","11.63%","18.16%","9.12%","16.00%","4.44%"
"1999","14.85%","","27.53%","19.67%","24.18%","15.06%","21.98%","11.76%","18.66%","9.12%","16.43%","4.48%"
"2000","15.26%","","27.45%","20.11%","24.42%","15.48%","22.34%","12.04%","19.09%","9.28%","16.86%","4.60%"
"2001","14.47%","28.17%","27.60%","19.33%","23.91%","15.20%","21.68%","11.87%","18.35%","9.20%","16.08%","4.92%"
"2002","13.28%","28.48%","27.37%","18.43%","23.17%","14.15%","20.76%","10.70%","17.23%","8.00%","14.87%","3.86%"
"2003","12.11%","24.60%","24.38%","16.86%","20.92%","12.46%","18.70%","9.69%","15.57%","7.41%","13.53%","3.49%"
"2004","12.31%","23.06%","23.52%","17.22%","20.83%","12.53%","18.80%","9.41%","15.71%","7.27%","13.68%","3.53%"
"2005","12.65%","22.48%","23.15%","17.70%","20.93%","12.61%","19.03%","9.45%","16.04%","7.18%","14.01%","3.51%"
"2006","12.80%","21.94%","22.80%","17.72%","20.80%","12.84%","19.02%","9.52%","16.12%","7.22%","14.12%","3.51%"
"2007","12.90%","21.42%","22.46%","17.81%","20.66%","12.92%","18.96%","9.61%","16.16%","7.27%","14.19%","3.56%"
"2008","12.54%","22.67%","23.29%","17.42%","20.83%","12.66%","18.87%","9.45%","15.85%","6.97%","13.79%","3.26%"
"2009","11.39%","24.28%","24.05%","16.58%","20.59%","11.53%","18.19%","8.36%","14.81%","5.76%","12.61%","2.35%"
"2010","11.81%","22.84%","23.39%","17.18%","20.64%","11.98%","18.46%","8.70%","15.22%","6.01%","13.06%","2.37%"
"2011","12.54%","22.82%","23.50%","17.66%","20.89%","12.83%","18.85%","9.70%","15.82%","6.98%","13.76%","3.13%"
"2012","13.11%","21.67%","22.83%","18.32%","20.97%","13.33%","19.21%","9.96%","16.35%","7.21%","14.33%","3.28%"
"2013","13.64%","27.91%","27.08%","18.36%","23.20%","13.40%","20.75%","10.11%","17.28%","7.31%","14.98%","3.30%"
"2014","14.16%","27.67%","27.16%","18.82%","23.61%","13.73%","21.25%","10.37%","17.83%","7.48%","15.52%","3.45%"
"2015","14.34%","27.44%","27.10%","19.05%","23.68%","13.99%","21.37%","10.62%","18.00%","7.67%","15.71%","3.59%"
"2016","14.20%","27.05%","26.87%","19.19%","23.49%","14.05%","21.19%","10.71%","17.84%","7.81%","15.57%","3.73%"
"2017","14.64%","26.93%","26.76%","19.54%","23.70%","14.29%","21.49%","10.96%","18.23%","8.06%","15.99%","4.05%"
"2018","13.28%","25.96%","25.44%","17.28%","21.96%","13.14%","19.89%","9.75%","16.77%","6.88%","14.59%","3.36%"
"2019","13.29%","26.12%","25.57%","17.40%","21.98%","13.28%","19.89%","9.78%","16.73%","6.94%","14.55%","3.54%"
"2020","13.63%","26.55%","25.99%","17.49%","22.44%","13.13%","20.30%","9.51%","17.06%","6.54%","14.82%","3.11%"
"2021","14.90%","25.74%","25.93%","18.86%","23.29%","14.26%","21.47%","10.26%","18.44%","7.18%","16.24%","3.35%"
