"Year","Total","Top 0.1%","Top 1%","Between 1% & 5%","Top 5%","Between 5% & 10%","Top 10%","Between 10% & 25%","Top 25%","Between 25% & 50%","Top 50%","Bottom 50%"
"1980","100%","","8.46%","12.54%","21.01%","11.12%","32.13%","24.57%","56.70%","25.62%","82.32%","17.68%"
"1981","100%","","8.30%","12.45%","20.78%","11.20%","31.98%","24.69%","56.67%","25.59%","82.25%","17.75%"
"1982","100%","","8.91%","12.31%","21.23%","11.03%","32.26%","24.53%","56.79%","25.50%","82.29%","17.71%"
"1983","100%","","9.29%","12.44%","21.74%","11.04%","32.78%","24.44%","57.22%","25.30%","82.52%","17.48%"
"1984","100%","","9.66%","12.52%","22.19%","11.06%","33.25%","24.31%","57.56%","25.00%","82.56%","17.44%"
"1985","100%","","10.03%","12.63%","22.67%","11.10%","33.77%","24.21%","57.97%","24.77%","82.74%","17.26%"
"1986","100%","","11.30%","12.80%","24.11%","11.02%","35.12%","23.92%","59.04%","24.30%","83.34%","16.66%"
"1987","100%","","12.32%","13.33%","25.67%","11.23%","36.90%","23.85%","60.75%","23.62%","84.37%","15.63%"
"1988","100%","","15.16%","13.35%","28.51%","10.94%","39.45%","22.99%","62.44%","22.63%","85.07%","14.93%"
"1989","100%","","14.19%","13.64%","27.84%","11.16%","39.00%","23.28%","62.28%","22.76%","85.04%","14.96%"
"1990","100%","","14.00%","13.62%","27.62%","11.15%","38.77%","23.36%","62.13%","22.84%","84.97%","15.03%"
"1991","100%","","12.99%","13.82%","26.83%","11.37%","38.20%","23.65%","61.85%","23.01%","84.87%","15.13%"
"1992","100%","","14.23%","13.77%","28.01%","11.21%","39.23%","23.25%","62.47%","22.61%","85.08%","14.92%"
"1993","100%","","13.79%","13.96%","27.76%","11.29%","39.05%","23.40%","62.45%","22.63%","85.08%","14.92%"
"1994","100%","","13.80%","14.04%","27.85%","11.34%","39.19%","23.45%","62.64%","22.48%","85.11%","14.89%"
"1995","100%","","14.60%","14.20%","28.81%","11.35%","40.16%","23.21%","63.37%","22.09%","85.46%","14.54%"
"1996","100%","","16.04%","14.31%","30.36%","11.23%","41.59%","22.73%","64.32%","21.60%","85.92%","14.08%"
"1997","100%","","17.38%","14.41%","31.79%","11.03%","42.83%","22.22%","65.05%","21.11%","86.16%","13.84%"
"1998","100%","","18.47%","14.39%","32.85%","10.92%","43.77%","21.87%","65.63%","20.69%","86.33%","13.67%"
"1999","100%","","19.51%","14.54%","34.04%","10.85%","44.89%","21.57%","66.46%","20.29%","86.75%","13.25%"
"2000","100%","","20.81%","14.48%","35.30%","10.71%","46.01%","21.15%","67.15%","19.86%","87.01%","12.99%"
"2001","100%","8.05%","17.41%","14.21%","31.61%","10.89%","42.50%","21.80%","64.31%","21.29%","85.60%","14.40%"
"2002","100%","7.04%","16.05%","14.24%","30.29%","11.04%","41.33%","22.39%","63.71%","21.79%","85.50%","14.50%"
"2003","100%","7.56%","16.73%","14.26%","30.99%","11.03%","42.01%","22.33%","64.34%","21.52%","85.87%","14.13%"
"2004","100%","9.14%","18.99%","14.31%","33.31%","10.77%","44.07%","21.60%","65.68%","20.83%","86.51%","13.49%"
"2005","100%","10.64%","21.19%","14.42%","35.61%","10.56%","46.17%","20.90%","67.07%","19.99%","87.06%","12.94%"
"2006","100%","11.23%","22.10%","14.52%","36.62%","10.56%","47.17%","20.73%","67.91%","19.68%","87.58%","12.42%"
"2007","100%","11.95%","22.86%","14.52%","37.39%","10.49%","47.88%","20.53%","68.41%","19.40%","87.81%","12.19%"
"2008","100%","10.06%","20.19%","14.76%","34.95%","11.03%","45.98%","21.71%","67.69%","20.39%","88.08%","11.92%"
"2009","100%","7.94%","17.21%","14.96%","32.18%","11.59%","43.77%","22.96%","66.74%","21.38%","88.12%","11.88%"
"2010","100%","9.24%","18.87%","14.91%","33.78%","11.38%","45.17%","22.38%","67.55%","20.71%","88.26%","11.74%"
"2011","100%","8.86%","18.70%","15.19%","33.89%","11.50%","45.39%","22.43%","67.82%","20.63%","88.45%","11.55%"
"2012","100%","11.25%","21.86%","14.97%","36.84%","11.03%","47.87%","21.39%","69.25%","19.64%","88.90%","11.10%"
"2013","100%","9.03%","19.04%","15.38%","34.42%","11.45%","45.87%","22.23%","68.10%","20.41%","88.51%","11.49%"
"2014","100%","10.16%","20.58%","15.38%","35.96%","11.25%","47.21%","21.70%","68.91%","19.82%","88.73%","11.27%"
"2015","100%","10.19%","20.65%","15.42%","36.07%","11.29%","47.36%","21.64%","68.99%","19.72%","88.72%","11.28%"
"2016","100%","9.52%","19.72%","15.48%","35.20%","11.37%","46.56%","21.86%","68.43%","19.98%","88.41%","11.59%"
"2017","100%","10.52%","21.04%","15.49%","36.53%","11.21%","47.74%","21.40%","69.14%","19.61%","88.75%","11.25%"
"2018","100%","10.35%","20.93%","15.55%","36.48%","11.18%","47.66%","21.26%","68.91%","19.48%","88.39%","11.61%"
"2019","100%","9.60%","20.14%","15.79%","35.93%","11.37%","47.30%","21.51%","68.82%","19.69%","88.51%","11.49%"
"2020","100%","11.32%","22.19%","15.92%","38.11%","11.35%","49.45%","21.26%","70.71%","19.11%","89.82%","10.18%"
"2021","100%","14.30%","26.30%","15.69%","41.99%","10.62%","52.61%","19.48%","72.09%","17.51%","89.60%","10.40%"
